Estudiante_ID,Edad,Genero,Comuna,Nota_Matemáticas,Nota_Lenguaje,Nota_Ciencias
59,29,femenino,Concepción,85,11,82
60,26,prefiero no decirlo,Coronel,16,94,6
61,22,prefiero no decirlo,Coronel,20,15,18
62,28,femenino,Lota,32,6,50
63,25,prefiero no decirlo,Tomé,27,43,71
64,19,prefiero no decirlo,Arauco,22,30,63
65,24,prefiero no decirlo,Tomé,33,84,81
66,23,prefiero no decirlo,Penco,36,62,55
67,29,prefiero no decirlo,Concepción,9,16,88
68,21,femenino,San Pedro,15,9,7
69,28,prefiero no decirlo,Tomé,85,14,84
70,18,prefiero no decirlo,Penco,55,47,92
71,18,prefiero no decirlo,Lota,50,5,23
72,25,prefiero no decirlo,Penco,58,26,3
73,22,masculino,Lota,79,7,70
74,22,femenino,Arauco,10,15,84
75,29,femenino,Hualpén,35,56,66
76,28,masculino,Coronel,73,86,85
77,25,femenino,Coronel,86,95,34
78,18,femenino,Concepción,37,95,16
79,19,prefiero no decirlo,San Pedro,57,44,82
80,28,femenino,Hualpén,91,2,94
81,20,masculino,Tomé,12,65,96
82,25,femenino,Penco,62,80,53
83,24,prefiero no decirlo,San Pedro,24,20,33
84,18,prefiero no decirlo,Coronel,39,70,94
85,18,prefiero no decirlo,Penco,91,8,26
86,25,prefiero no decirlo,Concepción,58,63,24
87,23,femenino,Tomé,56,63,95
88,25,masculino,Penco,40,78,81
89,19,masculino,San Pedro,55,51,39
90,22,masculino,San Pedro,33,44,62
91,20,masculino,Lota,30,14,44
92,21,femenino,Hualpén,87,47,48
93,26,masculino,Concepción,85,67,58
94,21,masculino,Coronel,52,82,94
95,25,femenino,San Pedro,84,6,46
96,18,masculino,San Pedro,9,40,68
97,27,prefiero no decirlo,Penco,20,30,36
98,19,prefiero no decirlo,Hualpén,96,34,73
99,21,prefiero no decirlo,Hualpén,97,28,35
100,18,femenino,Tomé,48,65,31
101,23,femenino,Arauco,29,67,40
102,24,masculino,Tomé,94,33,1
103,19,masculino,Lota,76,99,37
104,28,femenino,San Pedro,9,61,71
105,27,masculino,Lota,45,20,24
106,23,prefiero no decirlo,Hualpén,54,23,28
107,29,femenino,Tomé,21,85,29
108,20,masculino,Coronel,17,41,94
109,21,prefiero no decirlo,Penco,18,24,65
110,19,femenino,Arauco,93,24,36
111,19,prefiero no decirlo,Penco,97,70,99
112,21,femenino,Lota,43,97,67
113,21,prefiero no decirlo,Coronel,70,41,90
114,28,prefiero no decirlo,Arauco,61,19,64
115,23,femenino,Lota,33,31,41
116,29,prefiero no decirlo,San Pedro,29,96,25
117,21,prefiero no decirlo,San Pedro,10,7,30
118,19,masculino,Lota,17,69,9
119,25,masculino,San Pedro,9,10,93
120,18,masculino,Penco,22,71,15
121,22,masculino,Concepción,68,20,89
122,21,masculino,Arauco,20,6,91
123,19,prefiero no decirlo,Tomé,66,96,26
124,25,femenino,Concepción,81,52,41
125,20,prefiero no decirlo,Hualpén,70,45,40
126,27,masculino,Lota,15,96,29
127,24,prefiero no decirlo,Concepción,17,13,9
128,24,femenino,Hualpén,32,24,56
129,25,prefiero no decirlo,Tomé,61,20,81
130,29,prefiero no decirlo,Penco,54,44,1
131,22,masculino,Lota,59,6,55
132,19,femenino,Arauco,93,96,41
133,20,prefiero no decirlo,Tomé,65,78,22
134,28,prefiero no decirlo,Hualpén,55,80,52
135,28,femenino,Arauco,63,60,8
136,19,masculino,Hualpén,79,79,57
137,21,femenino,Arauco,87,90,62
138,24,femenino,San Pedro,98,12,32
139,22,femenino,Coronel,32,56,67
140,25,prefiero no decirlo,Hualpén,94,7,64
141,25,masculino,Hualpén,66,49,96
142,23,femenino,Arauco,14,6,20
143,26,masculino,Arauco,4,44,24
144,27,femenino,Lota,21,38,51
145,26,masculino,Coronel,30,68,17
146,29,femenino,Lota,68,12,22
147,28,masculino,San Pedro,24,66,39
148,20,prefiero no decirlo,Tomé,15,18,41
149,25,femenino,Arauco,60,57,16
150,28,femenino,Hualpén,19,84,79
151,18,masculino,Concepción,26,3,3
152,24,masculino,Penco,98,3,87
153,25,prefiero no decirlo,Coronel,56,2,66
154,25,masculino,Concepción,18,77,52
155,24,masculino,Coronel,30,88,19
156,18,masculino,Hualpén,41,86,24
157,23,masculino,Penco,88,20,63
158,29,prefiero no decirlo,Concepción,21,84,62
159,24,masculino,Tomé,70,93,60
160,21,femenino,Penco,33,48,23
161,19,masculino,Arauco,99,85,67
162,28,masculino,Arauco,41,90,81
163,26,masculino,San Pedro,25,54,17
164,20,femenino,Concepción,40,22,41
165,21,femenino,Hualpén,97,81,6
166,26,femenino,Tomé,7,84,64
167,22,femenino,Tomé,49,29,55
168,29,masculino,Hualpén,45,3,77
169,20,prefiero no decirlo,San Pedro,71,34,49
170,18,prefiero no decirlo,Concepción,31,34,79
171,25,prefiero no decirlo,Arauco,44,86,36
172,20,prefiero no decirlo,Coronel,58,48,89
173,23,femenino,Coronel,26,38,79
174,23,femenino,San Pedro,15,1,19
175,21,prefiero no decirlo,Tomé,87,75,91
176,27,femenino,Lota,69,22,98
177,19,femenino,Lota,58,78,86
178,23,masculino,Tomé,20,78,60
179,19,femenino,Arauco,72,98,33
180,25,femenino,Coronel,94,18,45
181,26,prefiero no decirlo,San Pedro,71,45,46
182,27,femenino,Concepción,94,16,4
183,18,femenino,Hualpén,19,10,42
184,27,prefiero no decirlo,Concepción,96,43,74
185,27,masculino,Tomé,16,77,57
186,23,masculino,San Pedro,24,89,86
187,26,prefiero no decirlo,Arauco,59,84,80
188,21,masculino,Concepción,3,91,38
189,23,masculino,Arauco,22,23,90
190,18,femenino,Concepción,27,72,53
191,18,femenino,Coronel,74,73,34
192,24,prefiero no decirlo,Hualpén,25,95,85
193,28,prefiero no decirlo,Concepción,60,47,23
194,27,femenino,Penco,83,56,44
195,18,prefiero no decirlo,Coronel,81,16,43
196,18,masculino,Lota,13,82,75
197,20,femenino,Arauco,89,18,85
198,18,masculino,Concepción,37,98,98
199,28,masculino,Arauco,40,67,47
200,26,femenino,Penco,1,89,10
201,28,masculino,Coronel,66,79,70
202,22,masculino,Penco,55,83,48
203,20,prefiero no decirlo,San Pedro,29,49,49
204,21,masculino,Concepción,17,27,32
205,27,masculino,Lota,19,42,85
206,26,femenino,Concepción,31,22,67
207,24,femenino,Coronel,51,47,81
208,19,femenino,Coronel,92,84,94
209,19,prefiero no decirlo,Concepción,50,79,31
210,18,femenino,Lota,29,34,3
211,21,prefiero no decirlo,Arauco,40,2,45
212,27,femenino,Penco,71,54,94
213,20,prefiero no decirlo,Tomé,59,86,84
214,25,masculino,Tomé,75,5,18
215,21,femenino,Lota,89,74,95
216,21,prefiero no decirlo,Coronel,73,5,17
217,29,masculino,Penco,85,36,23
218,18,femenino,Hualpén,59,38,79
219,29,masculino,Concepción,80,20,91
220,29,femenino,Hualpén,73,92,5
221,24,prefiero no decirlo,Hualpén,47,94,15
222,22,masculino,Lota,54,63,21
223,24,masculino,Concepción,89,79,28
224,24,prefiero no decirlo,Lota,77,47,5
225,23,masculino,San Pedro,46,38,72
226,19,femenino,Lota,44,70,65
227,29,femenino,San Pedro,59,3,2
228,28,femenino,Concepción,54,60,56
229,23,masculino,Lota,67,60,69
230,27,masculino,Tomé,56,77,26
231,29,masculino,Hualpén,90,22,3
232,28,prefiero no decirlo,San Pedro,75,97,67
233,29,masculino,Tomé,67,15,59
234,27,prefiero no decirlo,Concepción,62,66,6
235,21,femenino,Tomé,69,49,93
236,27,femenino,Penco,48,78,60
237,26,masculino,San Pedro,89,56,48
238,19,masculino,Hualpén,45,40,60
239,29,femenino,San Pedro,27,28,24
240,28,femenino,Hualpén,3,59,93
241,18,masculino,Hualpén,23,51,5
242,19,femenino,Coronel,5,70,9
243,24,prefiero no decirlo,Penco,58,28,7
244,25,masculino,Penco,87,5,64
245,28,femenino,Lota,37,47,51
246,27,prefiero no decirlo,Tomé,10,35,86
247,24,prefiero no decirlo,Tomé,38,10,37
248,27,masculino,Coronel,78,20,30
249,19,masculino,Arauco,98,6,16
250,24,femenino,Arauco,9,98,86
251,23,femenino,Concepción,64,7,88
252,21,prefiero no decirlo,Tomé,55,47,58
253,24,femenino,Lota,59,87,68
254,22,masculino,Arauco,84,63,88
255,26,prefiero no decirlo,Penco,98,91,46
256,24,masculino,San Pedro,50,1,80
257,25,masculino,Coronel,66,21,56
258,19,femenino,Coronel,70,80,83
259,27,femenino,Tomé,68,22,90
260,21,prefiero no decirlo,Hualpén,55,19,68
261,22,prefiero no decirlo,Tomé,97,19,31
262,20,prefiero no decirlo,Coronel,50,88,91
263,25,masculino,Penco,91,61,54
264,23,prefiero no decirlo,Penco,72,32,42
265,22,femenino,Penco,72,73,18
266,22,femenino,Concepción,85,73,98
267,23,masculino,Penco,18,98,4
268,18,masculino,Hualpén,79,43,78
269,20,femenino,Arauco,52,30,36
270,25,femenino,Tomé,23,54,23
271,22,masculino,Concepción,26,48,62
272,22,femenino,San Pedro,62,39,33
273,22,prefiero no decirlo,San Pedro,98,48,90
274,19,prefiero no decirlo,Arauco,25,9,49
275,21,prefiero no decirlo,Coronel,44,2,15
276,19,masculino,Tomé,98,53,12
277,26,prefiero no decirlo,Tomé,34,47,16
278,25,masculino,Arauco,63,1,17
279,18,masculino,San Pedro,76,82,55
280,19,prefiero no decirlo,Tomé,80,47,1
281,20,masculino,Concepción,13,31,73
282,25,masculino,Lota,23,54,28
283,19,prefiero no decirlo,Concepción,82,39,23
284,25,femenino,Concepción,86,5,70
285,18,femenino,Penco,74,94,59
286,27,masculino,Coronel,42,59,5
287,20,masculino,Coronel,74,22,27
288,27,femenino,Lota,57,6,83
289,18,masculino,Concepción,21,18,74
290,26,masculino,Coronel,83,48,79
291,23,femenino,Lota,24,4,6
292,25,masculino,Concepción,83,99,81
293,19,prefiero no decirlo,Tomé,73,5,19
294,27,prefiero no decirlo,Penco,13,11,57
295,20,prefiero no decirlo,Penco,50,55,18
296,25,prefiero no decirlo,Tomé,67,33,81
297,23,femenino,Arauco,98,48,21
298,20,masculino,Concepción,57,96,99
299,18,masculino,Lota,20,21,8
300,26,prefiero no decirlo,Hualpén,37,69,54
301,21,masculino,Concepción,87,39,96
302,21,femenino,Arauco,56,54,13
303,24,masculino,San Pedro,23,63,32
304,21,prefiero no decirlo,Arauco,40,34,10
305,22,masculino,Penco,29,43,66
306,28,femenino,Hualpén,6,16,7
307,23,femenino,San Pedro,68,90,74
308,29,femenino,Concepción,91,79,94
309,19,femenino,Coronel,9,20,35
310,23,prefiero no decirlo,Tomé,61,81,7
311,25,masculino,Hualpén,61,23,81
312,25,prefiero no decirlo,San Pedro,41,92,42
313,26,masculino,Arauco,59,49,19
314,19,prefiero no decirlo,Hualpén,94,57,59
315,24,masculino,San Pedro,93,80,23
316,28,masculino,San Pedro,4,46,26
317,26,femenino,Coronel,21,52,20
318,20,masculino,Concepción,15,88,75
319,19,prefiero no decirlo,Coronel,43,66,84
320,29,masculino,San Pedro,12,1,53
321,29,masculino,Lota,65,94,13
322,18,masculino,Hualpén,36,52,83
323,24,femenino,Penco,31,45,64
324,23,prefiero no decirlo,Lota,30,64,18
325,27,prefiero no decirlo,Coronel,80,20,84
326,28,femenino,Penco,49,19,79
327,27,prefiero no decirlo,San Pedro,33,83,61
328,24,masculino,San Pedro,75,23,67
329,28,femenino,San Pedro,73,20,22
330,20,femenino,Tomé,50,54,37
331,22,masculino,Tomé,47,47,13
332,20,femenino,Penco,25,53,47
333,18,prefiero no decirlo,Hualpén,85,41,8
334,20,prefiero no decirlo,San Pedro,58,39,85
335,20,prefiero no decirlo,Coronel,94,3,76
336,24,femenino,Concepción,8,97,2
337,18,prefiero no decirlo,Lota,91,48,69
338,20,femenino,Tomé,62,95,3
339,29,masculino,Concepción,42,39,52
340,19,masculino,Arauco,53,80,86
341,26,prefiero no decirlo,Concepción,17,88,48
342,27,femenino,Hualpén,1,89,88
343,25,masculino,Coronel,56,44,90
344,18,masculino,Penco,84,5,23
345,21,prefiero no decirlo,Concepción,5,64,68
346,25,prefiero no decirlo,Concepción,7,71,51
347,29,prefiero no decirlo,San Pedro,79,69,16
348,20,masculino,Coronel,55,98,18
349,22,masculino,Coronel,52,4,38
350,28,prefiero no decirlo,Hualpén,45,80,63
351,25,prefiero no decirlo,Concepción,91,37,69
352,19,prefiero no decirlo,Hualpén,25,68,60
353,21,masculino,San Pedro,31,74,59
354,22,prefiero no decirlo,Hualpén,36,43,82
355,18,femenino,Penco,34,37,46
356,26,femenino,Tomé,89,40,26
357,20,masculino,San Pedro,64,27,73
358,28,femenino,Tomé,11,36,97
359,18,masculino,Concepción,45,16,40
360,24,prefiero no decirlo,Tomé,40,36,60
361,19,femenino,San Pedro,8,30,62
362,23,prefiero no decirlo,Penco,50,11,23
363,20,masculino,Tomé,76,47,71
364,22,femenino,Lota,39,76,92
365,23,femenino,San Pedro,79,71,67
366,26,femenino,Hualpén,68,59,26
367,22,femenino,Penco,2,2,71
368,24,prefiero no decirlo,Penco,3,29,4
369,26,femenino,Concepción,41,47,46
370,18,prefiero no decirlo,Tomé,88,8,55
371,22,femenino,Coronel,29,57,85
372,25,femenino,Lota,1,34,48
373,26,masculino,Tomé,11,75,21
374,23,masculino,Hualpén,74,46,88
375,24,prefiero no decirlo,Lota,97,96,40
376,26,prefiero no decirlo,Arauco,85,49,52
377,26,prefiero no decirlo,Coronel,10,32,22
378,21,femenino,Coronel,6,68,31
379,29,femenino,Lota,77,20,18
380,28,femenino,San Pedro,28,63,65
381,18,masculino,Coronel,35,48,21
382,25,masculino,Penco,42,56,27
383,24,masculino,Lota,16,87,4
384,24,prefiero no decirlo,San Pedro,78,69,61
385,21,masculino,Penco,81,34,50
386,23,masculino,Penco,79,69,90
387,29,masculino,Penco,18,18,95
388,19,prefiero no decirlo,Tomé,93,57,66
389,19,prefiero no decirlo,Penco,75,71,41
390,21,masculino,Coronel,76,67,23
391,19,masculino,Hualpén,45,9,98
392,28,femenino,Concepción,26,77,28
393,20,masculino,Hualpén,58,42,84
394,21,prefiero no decirlo,Lota,76,89,69
395,26,femenino,Concepción,33,4,29
396,25,prefiero no decirlo,Hualpén,58,79,60
397,24,prefiero no decirlo,Hualpén,16,15,84
398,23,femenino,Concepción,25,41,54
399,29,femenino,Tomé,19,38,45
400,28,femenino,Arauco,8,52,30
401,20,masculino,Coronel,48,71,9
402,22,femenino,San Pedro,33,10,1
403,24,prefiero no decirlo,Penco,91,15,3
404,29,prefiero no decirlo,Tomé,98,22,70
405,29,masculino,Concepción,47,55,58
406,21,masculino,Coronel,59,15,1
407,28,prefiero no decirlo,Arauco,43,53,26
408,25,masculino,Coronel,32,26,89
409,20,prefiero no decirlo,Tomé,70,84,21
410,18,prefiero no decirlo,Coronel,88,75,89
411,26,masculino,Coronel,23,42,90
412,21,masculino,San Pedro,92,8,31
413,25,masculino,Lota,40,56,96
414,28,masculino,Hualpén,26,60,29
415,26,prefiero no decirlo,Coronel,8,55,21
416,21,femenino,Coronel,75,33,36
417,26,prefiero no decirlo,Arauco,21,40,52
418,21,masculino,Tomé,15,84,67
419,24,masculino,Concepción,69,91,69
420,25,prefiero no decirlo,Penco,12,33,46
421,23,masculino,Arauco,58,60,44
422,24,masculino,Hualpén,46,31,40
423,20,masculino,Hualpén,80,14,15
424,21,femenino,Lota,63,32,20
425,24,femenino,Penco,11,72,6
426,26,masculino,San Pedro,94,99,18
427,26,masculino,Coronel,79,26,38
428,21,femenino,Coronel,9,52,45
429,18,femenino,Lota,81,31,51
430,21,femenino,Tomé,82,39,26
431,26,prefiero no decirlo,Tomé,29,99,55
432,19,masculino,Arauco,98,71,84
433,23,masculino,San Pedro,24,43,79
434,20,femenino,Coronel,23,11,84
435,26,prefiero no decirlo,Coronel,87,62,80
436,24,prefiero no decirlo,Coronel,17,51,94
437,26,femenino,Hualpén,85,7,71
438,22,prefiero no decirlo,Penco,23,75,25
439,24,femenino,Tomé,44,99,43
440,23,masculino,Hualpén,33,3,76
441,29,femenino,Penco,97,40,20
442,21,prefiero no decirlo,Coronel,22,34,27
443,22,masculino,Arauco,67,66,29
444,19,prefiero no decirlo,Penco,91,55,79
445,18,prefiero no decirlo,Hualpén,15,82,80
446,26,femenino,Concepción,73,7,19
447,20,masculino,Tomé,87,23,65
448,27,prefiero no decirlo,Penco,8,1,55
449,27,masculino,Arauco,59,53,19
450,23,femenino,Coronel,15,99,51
451,27,masculino,Coronel,58,25,34
452,27,prefiero no decirlo,Arauco,57,61,61
453,25,femenino,Coronel,22,70,80
454,25,masculino,Arauco,75,71,90
455,25,masculino,Coronel,26,40,85
456,24,femenino,San Pedro,16,24,51
457,26,masculino,Arauco,26,68,64
458,24,prefiero no decirlo,Hualpén,18,77,49
459,23,masculino,San Pedro,79,95,53
460,26,masculino,San Pedro,58,52,24
461,20,femenino,Tomé,64,62,91
462,27,masculino,San Pedro,85,61,14
463,19,prefiero no decirlo,San Pedro,61,43,72
464,19,femenino,Hualpén,68,14,81
465,21,masculino,Penco,4,93,7
466,29,prefiero no decirlo,Coronel,56,89,95
467,19,femenino,Concepción,36,74,5
468,18,prefiero no decirlo,Coronel,46,90,5
469,18,prefiero no decirlo,Concepción,86,63,10
470,19,prefiero no decirlo,Penco,13,72,1
471,24,masculino,Hualpén,72,48,12
472,28,femenino,Coronel,53,57,71
473,21,masculino,Hualpén,11,38,54
474,28,femenino,Penco,82,5,35
475,25,femenino,Coronel,98,95,5
476,25,masculino,Arauco,90,70,19
477,29,prefiero no decirlo,Hualpén,65,22,78
478,23,masculino,San Pedro,45,94,27
479,18,femenino,Hualpén,74,77,16
480,18,masculino,Tomé,17,47,66
481,20,femenino,Arauco,40,70,69
482,28,masculino,Penco,82,35,33
483,24,femenino,Tomé,72,33,26
484,18,prefiero no decirlo,Penco,31,83,60
485,23,femenino,Lota,14,31,63
486,28,masculino,Hualpén,68,50,83
487,19,femenino,Tomé,97,37,66
488,28,prefiero no decirlo,Penco,83,22,2
489,27,prefiero no decirlo,Penco,54,20,85
490,23,femenino,Tomé,88,20,52
491,28,femenino,Penco,1,15,35
492,29,masculino,Penco,6,79,36
493,23,prefiero no decirlo,Lota,8,85,95
494,22,prefiero no decirlo,Hualpén,87,59,12
495,23,prefiero no decirlo,Arauco,93,58,25
496,27,prefiero no decirlo,Hualpén,40,90,12
497,26,masculino,Concepción,69,35,60
498,21,femenino,Coronel,54,59,31
499,20,femenino,Coronel,67,25,2
500,19,prefiero no decirlo,Hualpén,66,83,52
501,25,femenino,Coronel,32,67,57
502,27,prefiero no decirlo,Tomé,99,11,2
503,19,femenino,Lota,52,92,48
504,28,femenino,Lota,24,99,98
505,20,prefiero no decirlo,Hualpén,51,57,93
506,27,prefiero no decirlo,San Pedro,77,29,87
507,24,masculino,San Pedro,26,62,16
508,21,femenino,Hualpén,27,92,91
509,20,masculino,San Pedro,86,59,65
510,18,masculino,Coronel,56,36,84
511,22,masculino,San Pedro,18,87,67
512,28,masculino,Lota,19,7,24
513,22,masculino,Tomé,83,41,1
514,29,masculino,Hualpén,45,39,70
515,24,prefiero no decirlo,Tomé,82,25,5
516,22,femenino,Lota,88,1,13
517,23,prefiero no decirlo,San Pedro,96,6,91
518,20,femenino,Concepción,31,99,27
519,24,prefiero no decirlo,Arauco,34,75,92
520,28,prefiero no decirlo,Hualpén,88,24,30
521,28,femenino,Hualpén,67,45,3
522,20,masculino,Lota,17,55,97
523,28,prefiero no decirlo,Tomé,67,44,10
524,28,masculino,Coronel,73,27,64
525,24,prefiero no decirlo,Lota,44,37,5
526,22,masculino,Arauco,15,72,53
527,19,masculino,San Pedro,24,79,31
528,21,femenino,Arauco,52,66,47
529,23,prefiero no decirlo,Coronel,4,77,84
530,26,femenino,Concepción,41,60,15
531,29,masculino,Hualpén,96,18,9
532,18,masculino,Hualpén,1,66,10
533,20,prefiero no decirlo,Concepción,54,30,11
534,22,femenino,Coronel,60,10,8
535,20,prefiero no decirlo,Penco,76,1,11
536,25,femenino,Tomé,95,68,10
537,18,femenino,Lota,87,26,94
538,28,prefiero no decirlo,Lota,6,55,22
539,24,femenino,Hualpén,93,26,43
540,22,femenino,Hualpén,15,11,15
541,25,prefiero no decirlo,Coronel,76,26,38
542,26,prefiero no decirlo,Arauco,76,63,76
543,23,prefiero no decirlo,Hualpén,44,11,25
544,28,masculino,Lota,41,55,95
545,20,femenino,Concepción,8,11,31
546,18,femenino,Concepción,75,42,35
547,24,femenino,Hualpén,29,5,75
548,28,masculino,Penco,42,63,71
549,21,prefiero no decirlo,Arauco,66,18,46
550,23,prefiero no decirlo,Lota,33,14,12
551,26,prefiero no decirlo,Tomé,90,70,79
552,18,masculino,Arauco,75,43,1
553,21,masculino,Penco,4,54,35
554,28,femenino,Penco,88,22,68
555,24,masculino,San Pedro,62,28,81
556,26,prefiero no decirlo,Hualpén,96,89,30
557,19,prefiero no decirlo,Penco,72,36,57
558,23,masculino,Lota,88,91,24
559,26,prefiero no decirlo,Concepción,8,22,39
560,24,prefiero no decirlo,Tomé,64,74,7
561,24,femenino,Penco,84,81,28
562,22,femenino,Penco,71,36,68
563,29,masculino,Coronel,97,97,69
564,20,femenino,Arauco,10,16,76
565,20,masculino,Lota,83,31,91
566,23,femenino,Tomé,86,82,45
567,18,prefiero no decirlo,Arauco,73,17,10
568,27,masculino,Concepción,36,73,31
569,19,prefiero no decirlo,Lota,66,78,28
570,22,prefiero no decirlo,Arauco,71,72,8
571,29,prefiero no decirlo,Tomé,17,17,76
572,23,femenino,Lota,53,65,98
573,22,masculino,Concepción,58,28,51
574,21,prefiero no decirlo,San Pedro,35,12,5
575,28,femenino,Hualpén,21,49,88
576,22,femenino,Lota,31,4,37
577,23,masculino,Concepción,75,8,4
578,25,masculino,Hualpén,2,90,61
579,28,prefiero no decirlo,Coronel,10,75,66
580,25,prefiero no decirlo,San Pedro,97,98,46
581,28,femenino,Hualpén,89,66,47
582,27,prefiero no decirlo,Hualpén,24,89,12
583,22,femenino,Arauco,78,73,45
584,19,masculino,San Pedro,73,33,9
585,22,femenino,Arauco,75,9,88
586,24,femenino,Hualpén,20,60,16
587,18,masculino,Arauco,93,88,58
588,21,prefiero no decirlo,Concepción,18,28,67
589,22,masculino,Arauco,43,97,82
590,24,masculino,Hualpén,36,64,9
591,23,prefiero no decirlo,Coronel,91,9,7
592,20,prefiero no decirlo,Lota,30,32,34
593,23,femenino,Tomé,80,30,75
594,22,femenino,Penco,18,3,9
595,29,prefiero no decirlo,Arauco,99,73,49
596,28,femenino,Coronel,82,45,36
597,24,femenino,Penco,8,75,79
598,24,prefiero no decirlo,Lota,65,35,42
599,29,prefiero no decirlo,Penco,3,16,50
600,20,masculino,Lota,97,5,26
601,21,masculino,Penco,91,94,92
602,24,masculino,Tomé,40,1,2
603,18,masculino,Hualpén,65,45,56
604,24,masculino,Lota,63,98,13
605,18,masculino,Penco,96,47,24
606,18,masculino,Hualpén,67,75,10
607,22,femenino,Coronel,90,22,55
608,26,prefiero no decirlo,Hualpén,89,45,90
609,24,prefiero no decirlo,Penco,20,19,98
610,23,prefiero no decirlo,Concepción,82,22,25
611,24,prefiero no decirlo,San Pedro,41,65,22
612,22,prefiero no decirlo,Arauco,87,48,56
613,21,femenino,Lota,76,51,62
614,27,masculino,Tomé,11,46,73
615,27,femenino,Concepción,64,4,60
616,27,prefiero no decirlo,Coronel,48,56,56
617,26,femenino,Arauco,40,93,36
618,20,masculino,Tomé,83,86,82
619,24,masculino,Arauco,33,92,41
620,26,prefiero no decirlo,Arauco,47,76,43
621,25,prefiero no decirlo,Lota,82,7,45
622,18,prefiero no decirlo,Lota,61,51,10
623,26,femenino,Tomé,70,49,88
624,26,masculino,Concepción,82,51,35
625,23,masculino,Concepción,58,68,73
626,18,femenino,Arauco,24,5,88
627,18,femenino,Coronel,57,63,49
628,18,prefiero no decirlo,Concepción,48,29,6
629,27,prefiero no decirlo,Coronel,23,36,76
630,29,prefiero no decirlo,Tomé,41,14,2
631,20,masculino,Tomé,76,83,61
632,19,prefiero no decirlo,Tomé,86,8,88
633,29,prefiero no decirlo,Arauco,24,60,8
634,24,prefiero no decirlo,Tomé,75,55,16
635,18,femenino,Coronel,10,89,89
636,23,masculino,Coronel,77,57,91
637,26,masculino,Arauco,21,75,1
638,28,prefiero no decirlo,Tomé,51,53,64
639,19,masculino,Coronel,74,30,23
640,19,prefiero no decirlo,Concepción,78,48,89
641,25,femenino,Lota,62,62,64
642,25,masculino,Penco,69,92,52
643,27,femenino,Lota,74,56,24
644,22,prefiero no decirlo,Concepción,49,13,5
645,18,prefiero no decirlo,Tomé,62,44,85
646,24,prefiero no decirlo,Arauco,17,20,64
647,26,femenino,San Pedro,15,46,77
648,21,femenino,Hualpén,26,27,52
649,21,prefiero no decirlo,Tomé,46,64,24
650,24,masculino,Penco,7,71,66
651,18,prefiero no decirlo,Coronel,44,35,82
652,21,masculino,Hualpén,81,3,79
653,22,masculino,Hualpén,83,92,19
654,18,femenino,Penco,76,81,77
655,19,masculino,Coronel,55,27,16
656,21,masculino,Arauco,78,33,87
657,25,femenino,Lota,14,65,39
658,18,femenino,Concepción,11,17,9
659,25,prefiero no decirlo,Lota,15,15,57
660,27,masculino,Penco,40,5,25
661,23,masculino,Penco,4,84,9
662,23,femenino,Coronel,66,68,6
663,19,masculino,Lota,97,60,19
