Estudiante_ID,Edad,Genero,Comuna,Nota_Matemáticas,Nota_Lenguaje,Nota_Ciencias,Promedio_Notas,Rango_Edad
160,21,femenino,Penco,33,48,23,35,menor a 25
161,19,masculino,Arauco,99,85,67,84,menor a 25
162,28,masculino,Arauco,41,90,81,71,mayor de 25
163,26,masculino,San Pedro,25,54,17,32,mayor de 25
164,20,femenino,Concepción,40,22,41,34,menor a 25
165,21,femenino,Hualpén,97,81,6,61,menor a 25
166,26,femenino,Tomé,7,84,64,52,mayor de 25
167,22,femenino,Tomé,49,29,55,44,menor a 25
168,29,masculino,Hualpén,45,3,77,42,mayor de 25
169,20,prefiero no decirlo,San Pedro,71,34,49,51,menor a 25
170,18,prefiero no decirlo,Concepción,31,34,79,48,menor a 25
171,25,prefiero no decirlo,Arauco,44,86,36,55,menor a 25
172,20,prefiero no decirlo,Coronel,58,48,89,65,menor a 25
173,23,femenino,Coronel,26,38,79,48,menor a 25
174,23,femenino,San Pedro,15,1,19,12,menor a 25
175,21,prefiero no decirlo,Tomé,87,75,91,84,menor a 25
176,27,femenino,Lota,69,22,98,63,mayor de 25
177,19,femenino,Lota,58,78,86,74,menor a 25
178,23,masculino,Tomé,20,78,60,53,menor a 25
179,19,femenino,Arauco,72,98,33,68,menor a 25
180,25,femenino,Coronel,94,18,45,52,menor a 25
181,26,prefiero no decirlo,San Pedro,71,45,46,54,mayor de 25
182,27,femenino,Concepción,94,16,4,38,mayor de 25
183,18,femenino,Hualpén,19,10,42,24,menor a 25
184,27,prefiero no decirlo,Concepción,96,43,74,71,mayor de 25
185,27,masculino,Tomé,16,77,57,50,mayor de 25
186,23,masculino,San Pedro,24,89,86,66,menor a 25
187,26,prefiero no decirlo,Arauco,59,84,80,74,mayor de 25
188,21,masculino,Concepción,3,91,38,44,menor a 25
189,23,masculino,Arauco,22,23,90,45,menor a 25
190,18,femenino,Concepción,27,72,53,51,menor a 25
191,18,femenino,Coronel,74,73,34,60,menor a 25
192,24,prefiero no decirlo,Hualpén,25,95,85,68,menor a 25
193,28,prefiero no decirlo,Concepción,60,47,23,43,mayor de 25
194,27,femenino,Penco,83,56,44,61,mayor de 25
195,18,prefiero no decirlo,Coronel,81,16,43,47,menor a 25
196,18,masculino,Lota,13,82,75,57,menor a 25
197,20,femenino,Arauco,89,18,85,64,menor a 25
198,18,masculino,Concepción,37,98,98,78,menor a 25
199,28,masculino,Arauco,40,67,47,51,mayor de 25
200,26,femenino,Penco,1,89,10,33,mayor de 25
201,28,masculino,Coronel,66,79,70,72,mayor de 25
202,22,masculino,Penco,55,83,48,62,menor a 25
203,20,prefiero no decirlo,San Pedro,29,49,49,42,menor a 25
204,21,masculino,Concepción,17,27,32,25,menor a 25
205,27,masculino,Lota,19,42,85,49,mayor de 25
206,26,femenino,Concepción,31,22,67,40,mayor de 25
207,24,femenino,Coronel,51,47,81,60,menor a 25
208,19,femenino,Coronel,92,84,94,90,menor a 25
209,19,prefiero no decirlo,Concepción,50,79,31,53,menor a 25
210,18,femenino,Lota,29,34,3,22,menor a 25
211,21,prefiero no decirlo,Arauco,40,2,45,29,menor a 25
212,27,femenino,Penco,71,54,94,73,mayor de 25
213,20,prefiero no decirlo,Tomé,59,86,84,76,menor a 25
214,25,masculino,Tomé,75,5,18,33,menor a 25
215,21,femenino,Lota,89,74,95,86,menor a 25
216,21,prefiero no decirlo,Coronel,73,5,17,32,menor a 25
217,29,masculino,Penco,85,36,23,48,mayor de 25
218,18,femenino,Hualpén,59,38,79,59,menor a 25
219,29,masculino,Concepción,80,20,91,64,mayor de 25
220,29,femenino,Hualpén,73,92,5,57,mayor de 25
221,24,prefiero no decirlo,Hualpén,47,94,15,52,menor a 25
222,22,masculino,Lota,54,63,21,46,menor a 25
223,24,masculino,Concepción,89,79,28,65,menor a 25
224,24,prefiero no decirlo,Lota,77,47,5,43,menor a 25
225,23,masculino,San Pedro,46,38,72,52,menor a 25
226,19,femenino,Lota,44,70,65,60,menor a 25
227,29,femenino,San Pedro,59,3,2,21,mayor de 25
228,28,femenino,Concepción,54,60,56,57,mayor de 25
229,23,masculino,Lota,67,60,69,65,menor a 25
230,27,masculino,Tomé,56,77,26,53,mayor de 25
231,29,masculino,Hualpén,90,22,3,38,mayor de 25
232,28,prefiero no decirlo,San Pedro,75,97,67,80,mayor de 25
233,29,masculino,Tomé,67,15,59,47,mayor de 25
234,27,prefiero no decirlo,Concepción,62,66,6,45,mayor de 25
235,21,femenino,Tomé,69,49,93,70,menor a 25
236,27,femenino,Penco,48,78,60,62,mayor de 25
237,26,masculino,San Pedro,89,56,48,64,mayor de 25
238,19,masculino,Hualpén,45,40,60,48,menor a 25
239,29,femenino,San Pedro,27,28,24,26,mayor de 25
240,28,femenino,Hualpén,3,59,93,52,mayor de 25
241,18,masculino,Hualpén,23,51,5,26,menor a 25
242,19,femenino,Coronel,5,70,9,28,menor a 25
243,24,prefiero no decirlo,Penco,58,28,7,31,menor a 25
244,25,masculino,Penco,87,5,64,52,menor a 25
245,28,femenino,Lota,37,47,51,45,mayor de 25
246,27,prefiero no decirlo,Tomé,10,35,86,44,mayor de 25
247,24,prefiero no decirlo,Tomé,38,10,37,28,menor a 25
248,27,masculino,Coronel,78,20,30,43,mayor de 25
249,19,masculino,Arauco,98,6,16,40,menor a 25
250,24,femenino,Arauco,9,98,86,64,menor a 25
251,23,femenino,Concepción,64,7,88,53,menor a 25
252,21,prefiero no decirlo,Tomé,55,47,58,53,menor a 25
253,24,femenino,Lota,59,87,68,71,menor a 25
254,22,masculino,Arauco,84,63,88,78,menor a 25
255,26,prefiero no decirlo,Penco,98,91,46,78,mayor de 25
256,24,masculino,San Pedro,50,1,80,44,menor a 25
257,25,masculino,Coronel,66,21,56,48,menor a 25
258,19,femenino,Coronel,70,80,83,78,menor a 25
259,27,femenino,Tomé,68,22,90,60,mayor de 25
260,21,prefiero no decirlo,Hualpén,55,19,68,47,menor a 25
261,22,prefiero no decirlo,Tomé,97,19,31,49,menor a 25
262,20,prefiero no decirlo,Coronel,50,88,91,76,menor a 25
263,25,masculino,Penco,91,61,54,69,menor a 25
264,23,prefiero no decirlo,Penco,72,32,42,49,menor a 25
265,22,femenino,Penco,72,73,18,54,menor a 25
266,22,femenino,Concepción,85,73,98,85,menor a 25
267,23,masculino,Penco,18,98,4,40,menor a 25
268,18,masculino,Hualpén,79,43,78,67,menor a 25
269,20,femenino,Arauco,52,30,36,39,menor a 25
270,25,femenino,Tomé,23,54,23,33,menor a 25
271,22,masculino,Concepción,26,48,62,45,menor a 25
272,22,femenino,San Pedro,62,39,33,45,menor a 25
273,22,prefiero no decirlo,San Pedro,98,48,90,79,menor a 25
274,19,prefiero no decirlo,Arauco,25,9,49,28,menor a 25
275,21,prefiero no decirlo,Coronel,44,2,15,20,menor a 25
276,19,masculino,Tomé,98,53,12,54,menor a 25
277,26,prefiero no decirlo,Tomé,34,47,16,32,mayor de 25
278,25,masculino,Arauco,63,1,17,27,menor a 25
279,18,masculino,San Pedro,76,82,55,71,menor a 25
280,19,prefiero no decirlo,Tomé,80,47,1,43,menor a 25
281,20,masculino,Concepción,13,31,73,39,menor a 25
282,25,masculino,Lota,23,54,28,35,menor a 25
283,19,prefiero no decirlo,Concepción,82,39,23,48,menor a 25
284,25,femenino,Concepción,86,5,70,54,menor a 25
285,18,femenino,Penco,74,94,59,76,menor a 25
286,27,masculino,Coronel,42,59,5,35,mayor de 25
287,20,masculino,Coronel,74,22,27,41,menor a 25
288,27,femenino,Lota,57,6,83,49,mayor de 25
289,18,masculino,Concepción,21,18,74,38,menor a 25
290,26,masculino,Coronel,83,48,79,70,mayor de 25
291,23,femenino,Lota,24,4,6,11,menor a 25
292,25,masculino,Concepción,83,99,81,88,menor a 25
293,19,prefiero no decirlo,Tomé,73,5,19,32,menor a 25
294,27,prefiero no decirlo,Penco,13,11,57,27,mayor de 25
295,20,prefiero no decirlo,Penco,50,55,18,41,menor a 25
296,25,prefiero no decirlo,Tomé,67,33,81,60,menor a 25
297,23,femenino,Arauco,98,48,21,56,menor a 25
298,20,masculino,Concepción,57,96,99,84,menor a 25
299,18,masculino,Lota,20,21,8,16,menor a 25
300,26,prefiero no decirlo,Hualpén,37,69,54,53,mayor de 25
301,21,masculino,Concepción,87,39,96,74,menor a 25
302,21,femenino,Arauco,56,54,13,41,menor a 25
303,24,masculino,San Pedro,23,63,32,39,menor a 25
304,21,prefiero no decirlo,Arauco,40,34,10,28,menor a 25
305,22,masculino,Penco,29,43,66,46,menor a 25
306,28,femenino,Hualpén,6,16,7,10,mayor de 25
307,23,femenino,San Pedro,68,90,74,77,menor a 25
308,29,femenino,Concepción,91,79,94,88,mayor de 25
309,19,femenino,Coronel,9,20,35,21,menor a 25
310,23,prefiero no decirlo,Tomé,61,81,7,50,menor a 25
311,25,masculino,Hualpén,61,23,81,55,menor a 25
312,25,prefiero no decirlo,San Pedro,41,92,42,58,menor a 25
313,26,masculino,Arauco,59,49,19,42,mayor de 25
314,19,prefiero no decirlo,Hualpén,94,57,59,70,menor a 25
315,24,masculino,San Pedro,93,80,23,65,menor a 25
316,28,masculino,San Pedro,4,46,26,25,mayor de 25
317,26,femenino,Coronel,21,52,20,31,mayor de 25
318,20,masculino,Concepción,15,88,75,59,menor a 25
319,19,prefiero no decirlo,Coronel,43,66,84,64,menor a 25
320,29,masculino,San Pedro,12,1,53,22,mayor de 25
321,29,masculino,Lota,65,94,13,57,mayor de 25
322,18,masculino,Hualpén,36,52,83,57,menor a 25
323,24,femenino,Penco,31,45,64,47,menor a 25
324,23,prefiero no decirlo,Lota,30,64,18,37,menor a 25
325,27,prefiero no decirlo,Coronel,80,20,84,61,mayor de 25
326,28,femenino,Penco,49,19,79,49,mayor de 25
327,27,prefiero no decirlo,San Pedro,33,83,61,59,mayor de 25
328,24,masculino,San Pedro,75,23,67,55,menor a 25
329,28,femenino,San Pedro,73,20,22,38,mayor de 25
330,20,femenino,Tomé,50,54,37,47,menor a 25
331,22,masculino,Tomé,47,47,13,36,menor a 25
332,20,femenino,Penco,25,53,47,42,menor a 25
333,18,prefiero no decirlo,Hualpén,85,41,8,45,menor a 25
334,20,prefiero no decirlo,San Pedro,58,39,85,61,menor a 25
335,20,prefiero no decirlo,Coronel,94,3,76,58,menor a 25
336,24,femenino,Concepción,8,97,2,36,menor a 25
337,18,prefiero no decirlo,Lota,91,48,69,69,menor a 25
338,20,femenino,Tomé,62,95,3,53,menor a 25
339,29,masculino,Concepción,42,39,52,44,mayor de 25
340,19,masculino,Arauco,53,80,86,73,menor a 25
341,26,prefiero no decirlo,Concepción,17,88,48,51,mayor de 25
342,27,femenino,Hualpén,1,89,88,59,mayor de 25
343,25,masculino,Coronel,56,44,90,63,menor a 25
344,18,masculino,Penco,84,5,23,37,menor a 25
345,21,prefiero no decirlo,Concepción,5,64,68,46,menor a 25
346,25,prefiero no decirlo,Concepción,7,71,51,43,menor a 25
347,29,prefiero no decirlo,San Pedro,79,69,16,55,mayor de 25
348,20,masculino,Coronel,55,98,18,57,menor a 25
349,22,masculino,Coronel,52,4,38,31,menor a 25
350,28,prefiero no decirlo,Hualpén,45,80,63,63,mayor de 25
351,25,prefiero no decirlo,Concepción,91,37,69,66,menor a 25
352,19,prefiero no decirlo,Hualpén,25,68,60,51,menor a 25
353,21,masculino,San Pedro,31,74,59,55,menor a 25
354,22,prefiero no decirlo,Hualpén,36,43,82,54,menor a 25
355,18,femenino,Penco,34,37,46,39,menor a 25
356,26,femenino,Tomé,89,40,26,52,mayor de 25
357,20,masculino,San Pedro,64,27,73,55,menor a 25
358,28,femenino,Tomé,11,36,97,48,mayor de 25
359,18,masculino,Concepción,45,16,40,34,menor a 25
360,24,prefiero no decirlo,Tomé,40,36,60,45,menor a 25
361,19,femenino,San Pedro,8,30,62,33,menor a 25
362,23,prefiero no decirlo,Penco,50,11,23,28,menor a 25
363,20,masculino,Tomé,76,47,71,65,menor a 25
364,22,femenino,Lota,39,76,92,69,menor a 25
365,23,femenino,San Pedro,79,71,67,72,menor a 25
366,26,femenino,Hualpén,68,59,26,51,mayor de 25
367,22,femenino,Penco,2,2,71,25,menor a 25
368,24,prefiero no decirlo,Penco,3,29,4,12,menor a 25
369,26,femenino,Concepción,41,47,46,45,mayor de 25
370,18,prefiero no decirlo,Tomé,88,8,55,50,menor a 25
371,22,femenino,Coronel,29,57,85,57,menor a 25
372,25,femenino,Lota,1,34,48,28,menor a 25
373,26,masculino,Tomé,11,75,21,36,mayor de 25
374,23,masculino,Hualpén,74,46,88,69,menor a 25
375,24,prefiero no decirlo,Lota,97,96,40,78,menor a 25
376,26,prefiero no decirlo,Arauco,85,49,52,62,mayor de 25
377,26,prefiero no decirlo,Coronel,10,32,22,21,mayor de 25
378,21,femenino,Coronel,6,68,31,35,menor a 25
379,29,femenino,Lota,77,20,18,38,mayor de 25
380,28,femenino,San Pedro,28,63,65,52,mayor de 25
381,18,masculino,Coronel,35,48,21,35,menor a 25
382,25,masculino,Penco,42,56,27,42,menor a 25
383,24,masculino,Lota,16,87,4,36,menor a 25
384,24,prefiero no decirlo,San Pedro,78,69,61,69,menor a 25
385,21,masculino,Penco,81,34,50,55,menor a 25
386,23,masculino,Penco,79,69,90,79,menor a 25
387,29,masculino,Penco,18,18,95,44,mayor de 25
388,19,prefiero no decirlo,Tomé,93,57,66,72,menor a 25
389,19,prefiero no decirlo,Penco,75,71,41,62,menor a 25
390,21,masculino,Coronel,76,67,23,55,menor a 25
391,19,masculino,Hualpén,45,9,98,51,menor a 25
392,28,femenino,Concepción,26,77,28,44,mayor de 25
393,20,masculino,Hualpén,58,42,84,61,menor a 25
394,21,prefiero no decirlo,Lota,76,89,69,78,menor a 25
395,26,femenino,Concepción,33,4,29,22,mayor de 25
396,25,prefiero no decirlo,Hualpén,58,79,60,66,menor a 25
397,24,prefiero no decirlo,Hualpén,16,15,84,38,menor a 25
398,23,femenino,Concepción,25,41,54,40,menor a 25
399,29,femenino,Tomé,19,38,45,34,mayor de 25
400,28,femenino,Arauco,8,52,30,30,mayor de 25
401,20,masculino,Coronel,48,71,9,43,menor a 25
402,22,femenino,San Pedro,33,10,1,15,menor a 25
403,24,prefiero no decirlo,Penco,91,15,3,36,menor a 25
404,29,prefiero no decirlo,Tomé,98,22,70,63,mayor de 25
405,29,masculino,Concepción,47,55,58,53,mayor de 25
406,21,masculino,Coronel,59,15,1,25,menor a 25
407,28,prefiero no decirlo,Arauco,43,53,26,41,mayor de 25
408,25,masculino,Coronel,32,26,89,49,menor a 25
409,20,prefiero no decirlo,Tomé,70,84,21,58,menor a 25
410,18,prefiero no decirlo,Coronel,88,75,89,84,menor a 25
411,26,masculino,Coronel,23,42,90,52,mayor de 25
412,21,masculino,San Pedro,92,8,31,44,menor a 25
413,25,masculino,Lota,40,56,96,64,menor a 25
414,28,masculino,Hualpén,26,60,29,38,mayor de 25
415,26,prefiero no decirlo,Coronel,8,55,21,28,mayor de 25
416,21,femenino,Coronel,75,33,36,48,menor a 25
417,26,prefiero no decirlo,Arauco,21,40,52,38,mayor de 25
418,21,masculino,Tomé,15,84,67,55,menor a 25
419,24,masculino,Concepción,69,91,69,76,menor a 25
420,25,prefiero no decirlo,Penco,12,33,46,30,menor a 25
421,23,masculino,Arauco,58,60,44,54,menor a 25
422,24,masculino,Hualpén,46,31,40,39,menor a 25
423,20,masculino,Hualpén,80,14,15,36,menor a 25
424,21,femenino,Lota,63,32,20,38,menor a 25
425,24,femenino,Penco,11,72,6,30,menor a 25
426,26,masculino,San Pedro,94,99,18,70,mayor de 25
427,26,masculino,Coronel,79,26,38,48,mayor de 25
428,21,femenino,Coronel,9,52,45,35,menor a 25
429,18,femenino,Lota,81,31,51,54,menor a 25
430,21,femenino,Tomé,82,39,26,49,menor a 25
431,26,prefiero no decirlo,Tomé,29,99,55,61,mayor de 25
432,19,masculino,Arauco,98,71,84,84,menor a 25
433,23,masculino,San Pedro,24,43,79,49,menor a 25
434,20,femenino,Coronel,23,11,84,39,menor a 25
435,26,prefiero no decirlo,Coronel,87,62,80,76,mayor de 25
436,24,prefiero no decirlo,Coronel,17,51,94,54,menor a 25
437,26,femenino,Hualpén,85,7,71,54,mayor de 25
438,22,prefiero no decirlo,Penco,23,75,25,41,menor a 25
439,24,femenino,Tomé,44,99,43,62,menor a 25
440,23,masculino,Hualpén,33,3,76,37,menor a 25
441,29,femenino,Penco,97,40,20,52,mayor de 25
442,21,prefiero no decirlo,Coronel,22,34,27,28,menor a 25
443,22,masculino,Arauco,67,66,29,54,menor a 25
444,19,prefiero no decirlo,Penco,91,55,79,75,menor a 25
445,18,prefiero no decirlo,Hualpén,15,82,80,59,menor a 25
446,26,femenino,Concepción,73,7,19,33,mayor de 25
447,20,masculino,Tomé,87,23,65,58,menor a 25
448,27,prefiero no decirlo,Penco,8,1,55,21,mayor de 25
449,27,masculino,Arauco,59,53,19,44,mayor de 25
450,23,femenino,Coronel,15,99,51,55,menor a 25
451,27,masculino,Coronel,58,25,34,39,mayor de 25
452,27,prefiero no decirlo,Arauco,57,61,61,60,mayor de 25
453,25,femenino,Coronel,22,70,80,57,menor a 25
454,25,masculino,Arauco,75,71,90,79,menor a 25
455,25,masculino,Coronel,26,40,85,50,menor a 25
456,24,femenino,San Pedro,16,24,51,30,menor a 25
457,26,masculino,Arauco,26,68,64,53,mayor de 25
458,24,prefiero no decirlo,Hualpén,18,77,49,48,menor a 25
459,23,masculino,San Pedro,79,95,53,76,menor a 25
460,26,masculino,San Pedro,58,52,24,45,mayor de 25
461,20,femenino,Tomé,64,62,91,72,menor a 25
462,27,masculino,San Pedro,85,61,14,53,mayor de 25
463,19,prefiero no decirlo,San Pedro,61,43,72,59,menor a 25
464,19,femenino,Hualpén,68,14,81,54,menor a 25
465,21,masculino,Penco,4,93,7,35,menor a 25
466,29,prefiero no decirlo,Coronel,56,89,95,80,mayor de 25
467,19,femenino,Concepción,36,74,5,38,menor a 25
468,18,prefiero no decirlo,Coronel,46,90,5,47,menor a 25
469,18,prefiero no decirlo,Concepción,86,63,10,53,menor a 25
470,19,prefiero no decirlo,Penco,13,72,1,29,menor a 25
471,24,masculino,Hualpén,72,48,12,44,menor a 25
472,28,femenino,Coronel,53,57,71,60,mayor de 25
473,21,masculino,Hualpén,11,38,54,34,menor a 25
474,28,femenino,Penco,82,5,35,41,mayor de 25
475,25,femenino,Coronel,98,95,5,66,menor a 25
